epoch,accuracy,loss,val_accuracy,val_loss
0,0.3650705814361572,1.3277326822280884,0.4495677351951599,1.279016375541687
1,0.6471076607704163,0.984711229801178,0.6685879230499268,0.8930550813674927
2,0.793523371219635,0.5794841051101685,0.7002881765365601,0.7536934018135071
3,0.8510932922363281,0.4087298512458801,0.7060518860816956,0.7741245627403259
4,0.8773872256278992,0.3358002007007599,0.7060518860816956,0.8128849267959595
5,0.9042347073554993,0.2709187865257263,0.6829971075057983,0.8492895364761353
6,0.9238859415054321,0.22365964949131012,0.6887608170509338,0.8881756067276001
7,0.9410462379455566,0.18645316362380981,0.6657060384750366,0.9689873456954956
8,0.9496263265609741,0.15841200947761536,0.6685879230499268,1.034534215927124
9,0.9598671197891235,0.1391787976026535,0.680115282535553,1.0877681970596313
10,0.9637420177459717,0.12472716718912125,0.6945244669914246,1.1058189868927002
11,0.9687240719795227,0.10794997960329056,0.6714697480201721,1.1744825839996338
12,0.9717686176300049,0.10027045756578445,0.6714697480201721,1.19332754611969
13,0.9712150692939758,0.09707176685333252,0.6685879230499268,1.268304705619812
14,0.974259614944458,0.09099658578634262,0.6685879230499268,1.2503032684326172
15,0.9725989699363708,0.08693049848079681,0.6714697480201721,1.325618028640747
16,0.9745364189147949,0.08138369768857956,0.6685879230499268,1.3500618934631348
17,0.9739828109741211,0.08121196180582047,0.680115282535553,1.3386929035186768
18,0.9725989699363708,0.08015844225883484,0.680115282535553,1.3521671295166016
19,0.9786880612373352,0.06766387820243835,0.6743515729904175,1.400536060333252
20,0.975089967250824,0.06459404528141022,0.6887608170509338,1.3926196098327637
21,0.9773041605949402,0.06521343439817429,0.6887608170509338,1.4560952186584473
22,0.975089967250824,0.06374458223581314,0.6714697480201721,1.427599549293518
23,0.9778577089309692,0.06081581488251686,0.6628242135047913,1.4841008186340332
24,0.9767506122589111,0.06366899609565735,0.6858789920806885,1.482267141342163
